variable_name,i,j,l,s,t,value
x,no_index,2,1,33,no_index,1910.1297318337056
x,no_index,7,1,36,no_index,8985.521956404074
x,no_index,7,1,50,no_index,10514.478043595926
x,no_index,13,1,1,no_index,9159.617214285716
x,no_index,13,1,19,no_index,4281.382785714284
x,no_index,14,1,4,no_index,9159.617214285716
x,no_index,17,1,13,no_index,2219.372227937807
x,no_index,17,1,14,no_index,2472.010557776477
x,no_index,18,1,10,no_index,13685.0
x,no_index,21,1,6,no_index,2017.650597372225
x,no_index,21,1,7,no_index,8135.698805255547
x,no_index,21,1,20,no_index,2017.650597372228
x,no_index,22,1,32,no_index,13824.0
x,no_index,23,1,34,no_index,2048.2822970327525
x,no_index,23,1,42,no_index,12537.717702967248
x,no_index,24,1,45,no_index,9357.0
x,no_index,26,1,8,no_index,18463.0
x,no_index,27,1,41,no_index,9074.0
x,no_index,30,1,11,no_index,9914.611581174197
x,no_index,33,1,39,no_index,17297.0
x,no_index,34,1,9,no_index,5061.382785714284
x,no_index,40,1,37,no_index,3911.596564315492
x,no_index,46,1,23,no_index,13859.0
x,no_index,48,1,12,no_index,12540.0
x,no_index,50,1,47,no_index,10514.478043595926
x,no_index,52,1,35,no_index,14197.0
x,no_index,54,1,24,no_index,16705.0
x,no_index,58,1,25,no_index,2122.139840834182
x,no_index,58,1,27,no_index,5662.720318331631
x,no_index,58,1,43,no_index,2122.139840834193
x,no_index,59,1,16,no_index,2249.256201400321
x,no_index,61,1,28,no_index,8818.521956404078
x,no_index,61,1,48,no_index,10514.478043595922
x,no_index,68,1,31,no_index,16102.0
x,no_index,71,1,17,no_index,1880.3879771055545
x,no_index,71,1,18,no_index,10292.99480860873
x,no_index,72,1,40,no_index,9030.0
x,no_index,73,1,3,no_index,9159.617214285716
x,no_index,75,1,2,no_index,9159.617214285716
x,no_index,85,1,22,no_index,12184.0
x,no_index,88,1,29,no_index,2674.434229496472
x,no_index,88,1,30,no_index,14167.565770503528
x,no_index,90,1,44,no_index,8768.521956404074
x,no_index,90,1,46,no_index,10514.478043595926
x,no_index,91,1,5,no_index,9159.617214285716
x,no_index,92,1,49,no_index,10514.478043595926
x,no_index,1,2,5,no_index,9159.617214285716
x,no_index,2,2,45,no_index,6581.392224570369
x,no_index,2,2,46,no_index,10514.478043595926
x,no_index,5,2,17,no_index,10533.166388140386
x,no_index,5,2,34,no_index,2031.8336118596235
x,no_index,10,2,16,no_index,20446.0
