variable_name,i,j,l,s,t,value
x,no_index,2,1,41,no_index,1910.1297318337065
x,no_index,2,1,42,no_index,17095.870268166294
x,no_index,4,1,30,no_index,17847.0
x,no_index,7,1,49,no_index,19500.0
x,no_index,8,1,46,no_index,11196.0
x,no_index,9,1,9,no_index,14037.0
x,no_index,10,1,36,no_index,10302.60991437122
x,no_index,11,1,17,no_index,18744.0
x,no_index,12,1,11,no_index,11691.0
x,no_index,13,1,4,no_index,13441.0
x,no_index,16,1,48,no_index,11952.0
x,no_index,17,1,23,no_index,13851.0
x,no_index,18,1,10,no_index,13685.0
x,no_index,19,1,8,no_index,1824.9221888624056
x,no_index,22,1,35,no_index,13824.0
x,no_index,25,1,1,no_index,18334.0
x,no_index,26,1,7,no_index,18463.0
x,no_index,27,1,44,no_index,9074.0
x,no_index,28,1,34,no_index,13884.679406342848
x,no_index,33,1,45,no_index,17297.0
x,no_index,34,1,5,no_index,14221.0
x,no_index,36,1,16,no_index,19053.0
x,no_index,37,1,14,no_index,1389.0944364529687
x,no_index,37,1,15,no_index,10479.905563547032
x,no_index,39,1,6,no_index,9429.358999999997
x,no_index,39,1,18,no_index,8579.641000000003
x,no_index,40,1,43,no_index,17607.0
x,no_index,52,1,25,no_index,14197.0
x,no_index,58,1,24,no_index,9907.0
x,no_index,59,1,37,no_index,11831.0
x,no_index,60,1,12,no_index,13367.0
x,no_index,61,1,28,no_index,2493.7889917189405
x,no_index,61,1,40,no_index,15739.621008281072
x,no_index,68,1,39,no_index,16102.0
x,no_index,75,1,19,no_index,1634.5424310516985
x,no_index,75,1,20,no_index,20780.457568948303
x,no_index,79,1,26,no_index,1560.4122796926597
x,no_index,79,1,31,no_index,16962.58772030734
x,no_index,81,1,2,no_index,1562.5741878089395
x,no_index,81,1,3,no_index,9811.42581219106
x,no_index,85,1,22,no_index,12184.0
x,no_index,90,1,38,no_index,4272.729553682799
x,no_index,90,1,50,no_index,15010.2704463172
x,no_index,97,1,29,no_index,12630.0
x,no_index,1,2,5,no_index,17882.0
x,no_index,3,2,28,no_index,2158.117998759216
x,no_index,3,2,29,no_index,19437.07064517805
x,no_index,5,2,16,no_index,12565.0
x,no_index,6,2,9,no_index,8270.0
x,no_index,10,2,14,no_index,10143.39008562878
x,no_index,19,2,12,no_index,14332.077811137597
x,no_index,23,2,39,no_index,14586.0
x,no_index,28,2,23,no_index,2305.320593657152
x,no_index,31,2,15,no_index,13381.0
x,no_index,32,2,8,no_index,15798.0
x,no_index,35,2,35,no_index,15197.0
x,no_index,38,2,43,no_index,11913.0
x,no_index,41,2,32,no_index,22989.0
x,no_index,42,2,42,no_index,10144.802170201005
x,no_index,42,2,44,no_index,2618.1978297989963
x,no_index,46,2,24,no_index,13859.0
x,no_index,47,2,36,no_index,2220.7879294410923
x,no_index,47,2,37,no_index,7429.212070558908
x,no_index,49,2,25,no_index,2408.4943207140736
x,no_index,49,2,26,no_index,6621.25108465114
x,no_index,49,2,34,no_index,6755.254594634787
x,no_index,53,2,20,no_index,20663.0
x,no_index,54,2,21,no_index,2014.118356870968
x,no_index,54,2,22,no_index,14690.881643129032
x,no_index,55,2,31,no_index,1617.5562848945729
x,no_index,62,2,46,no_index,2245.40664588687
x,no_index,62,2,50,no_index,15229.59335411313
x,no_index,63,2,27,no_index,12458.0
x,no_index,67,2,11,no_index,17191.0
x,no_index,70,2,45,no_index,10530.0
x,no_index,71,2,7,no_index,21333.0
x,no_index,80,2,33,no_index,22843.0
x,no_index,83,2,41,no_index,13130.0
x,no_index,84,2,6,no_index,16446.0
x,no_index,86,2,10,no_index,13018.0
x,no_index,89,2,40,no_index,18463.0
x,no_index,94,2,13,no_index,13726.0
x,no_index,99,2,2,no_index,17800.0
x,no_index,3,3,34,no_index,1799.8113560627394
x,no_index,14,3,3,no_index,5965.641000000003
x,no_index,14,3,8,no_index,4200.359811137601
x,no_index,14,3,11,no_index,1285.9991888623954
x,no_index,15,3,14,no_index,5267.173914371226
x,no_index,15,3,21,no_index,4641.826085628774
x,no_index,24,3,41,no_index,1483.5027314572503
x,no_index,24,3,42,no_index,7873.497268542749
x,no_index,29,3,33,no_index,16948.0
x,no_index,30,3,30,no_index,14876.0
x,no_index,43,3,2,no_index,16309.0
x,no_index,44,3,1,no_index,21178.0
x,no_index,45,3,26,no_index,1461.6361468270277
x,no_index,45,3,27,no_index,14194.363853172972
x,no_index,50,3,48,no_index,13253.0
x,no_index,51,3,12,no_index,1255.1004464733196
x,no_index,51,3,13,no_index,14251.89955352668
x,no_index,55,3,49,no_index,21193.443715105423
x,no_index,56,3,28,no_index,10102.0
x,no_index,57,3,23,no_index,2149.26480829408
x,no_index,57,3,24,no_index,13127.73519170592
x,no_index,64,3,36,no_index,15943.0
x,no_index,69,3,29,no_index,20665.0
x,no_index,74,3,15,no_index,8744.0
x,no_index,76,3,40,no_index,17848.0
x,no_index,77,3,43,no_index,2270.4841078855934
x,no_index,77,3,44,no_index,6732.515892114407
x,no_index,88,3,22,no_index,16842.0
x,no_index,91,3,25,no_index,14327.0
x,no_index,93,3,20,no_index,14238.0
x,no_index,95,3,35,no_index,1917.071114092808
x,no_index,95,3,50,no_index,15139.928885907191
x,no_index,96,3,16,no_index,1402.0259914951605
x,no_index,96,3,17,no_index,18844.97400850484
x,no_index,98,3,31,no_index,1766.6805236649109
x,no_index,98,3,37,no_index,1766.6805236649109
x,no_index,98,3,45,no_index,6824.641000000003
x,no_index,98,3,47,no_index,11784.997952670175
y,no_index,2,1,41,no_index,1.0
y,no_index,2,1,42,no_index,1.0
y,no_index,4,1,30,no_index,1.0
y,no_index,7,1,49,no_index,1.0
y,no_index,8,1,46,no_index,1.0
y,no_index,8,1,47,no_index,1.0
y,no_index,9,1,9,no_index,1.0
y,no_index,10,1,36,no_index,1.0
y,no_index,11,1,17,no_index,1.0
y,no_index,12,1,11,no_index,1.0
y,no_index,13,1,4,no_index,1.0
y,no_index,16,1,48,no_index,1.0
y,no_index,17,1,23,no_index,1.0
y,no_index,18,1,10,no_index,1.0
y,no_index,19,1,8,no_index,1.0
y,no_index,22,1,35,no_index,1.0
y,no_index,25,1,1,no_index,1.0
y,no_index,26,1,7,no_index,1.0
y,no_index,27,1,44,no_index,1.0
y,no_index,28,1,34,no_index,1.0
y,no_index,33,1,45,no_index,1.0
y,no_index,34,1,5,no_index,1.0
y,no_index,36,1,16,no_index,1.0
y,no_index,37,1,14,no_index,1.0
y,no_index,37,1,15,no_index,1.0
y,no_index,39,1,6,no_index,1.0
y,no_index,39,1,18,no_index,1.0
y,no_index,40,1,43,no_index,1.0
y,no_index,52,1,25,no_index,1.0
y,no_index,58,1,24,no_index,1.0
y,no_index,59,1,37,no_index,1.0
y,no_index,60,1,12,no_index,1.0
y,no_index,60,1,13,no_index,1.0
y,no_index,61,1,28,no_index,1.0
y,no_index,61,1,40,no_index,1.0
y,no_index,68,1,39,no_index,1.0
y,no_index,75,1,19,no_index,1.0
y,no_index,75,1,20,no_index,1.0
y,no_index,75,1,21,no_index,1.0
y,no_index,79,1,26,no_index,1.0
y,no_index,79,1,27,no_index,1.0
y,no_index,79,1,31,no_index,1.0
y,no_index,79,1,32,no_index,1.0
y,no_index,79,1,33,no_index,1.0
y,no_index,81,1,2,no_index,1.0
y,no_index,81,1,3,no_index,1.0
y,no_index,85,1,22,no_index,1.0
y,no_index,90,1,38,no_index,1.0
y,no_index,90,1,50,no_index,1.0
y,no_index,97,1,29,no_index,1.0
y,no_index,1,2,5,no_index,1.0
y,no_index,3,2,28,no_index,1.0
y,no_index,3,2,29,no_index,1.0
y,no_index,3,2,30,no_index,1.0
y,no_index,5,2,16,no_index,1.0
y,no_index,5,2,17,no_index,1.0
y,no_index,5,2,18,no_index,1.0
y,no_index,5,2,19,no_index,1.0
y,no_index,6,2,9,no_index,1.0
y,no_index,10,2,14,no_index,1.0
y,no_index,19,2,12,no_index,1.0
y,no_index,23,2,39,no_index,1.0
y,no_index,28,2,23,no_index,1.0
y,no_index,31,2,15,no_index,1.0
y,no_index,32,2,8,no_index,1.0
y,no_index,35,2,35,no_index,1.0
y,no_index,38,2,43,no_index,1.0
y,no_index,41,2,32,no_index,1.0
y,no_index,42,2,42,no_index,1.0
y,no_index,42,2,44,no_index,1.0
y,no_index,46,2,24,no_index,1.0
y,no_index,47,2,36,no_index,1.0
y,no_index,47,2,37,no_index,1.0
y,no_index,47,2,38,no_index,1.0
y,no_index,49,2,25,no_index,1.0
y,no_index,49,2,26,no_index,1.0
y,no_index,49,2,34,no_index,1.0
y,no_index,53,2,20,no_index,1.0
y,no_index,54,2,21,no_index,1.0
y,no_index,54,2,22,no_index,1.0
y,no_index,55,2,31,no_index,1.0
y,no_index,62,2,46,no_index,1.0
y,no_index,62,2,47,no_index,1.0
y,no_index,62,2,48,no_index,1.0
y,no_index,62,2,49,no_index,1.0
y,no_index,62,2,50,no_index,1.0
y,no_index,63,2,27,no_index,1.0
y,no_index,67,2,11,no_index,1.0
y,no_index,70,2,45,no_index,1.0
y,no_index,71,2,7,no_index,1.0
y,no_index,80,2,33,no_index,1.0
y,no_index,83,2,41,no_index,1.0
y,no_index,84,2,6,no_index,1.0
y,no_index,86,2,10,no_index,1.0
y,no_index,89,2,40,no_index,1.0
y,no_index,94,2,13,no_index,1.0
y,no_index,99,2,1,no_index,1.0
y,no_index,99,2,2,no_index,1.0
y,no_index,99,2,3,no_index,1.0
y,no_index,99,2,4,no_index,1.0
y,no_index,3,3,34,no_index,1.0
y,no_index,14,3,3,no_index,1.0
y,no_index,14,3,4,no_index,1.0
y,no_index,14,3,5,no_index,1.0
y,no_index,14,3,6,no_index,1.0
y,no_index,14,3,7,no_index,1.0
y,no_index,14,3,8,no_index,1.0
y,no_index,14,3,9,no_index,1.0
y,no_index,14,3,10,no_index,1.0
y,no_index,14,3,11,no_index,1.0
y,no_index,15,3,14,no_index,1.0
y,no_index,15,3,21,no_index,1.0
y,no_index,24,3,41,no_index,1.0
y,no_index,24,3,42,no_index,1.0
y,no_index,29,3,33,no_index,1.0
y,no_index,30,3,30,no_index,1.0
y,no_index,43,3,2,no_index,1.0
y,no_index,44,3,1,no_index,1.0
y,no_index,45,3,26,no_index,1.0
y,no_index,45,3,27,no_index,1.0
y,no_index,50,3,48,no_index,1.0
y,no_index,51,3,12,no_index,1.0
y,no_index,51,3,13,no_index,1.0
y,no_index,55,3,49,no_index,1.0
y,no_index,56,3,28,no_index,1.0
y,no_index,57,3,23,no_index,1.0
y,no_index,57,3,24,no_index,1.0
y,no_index,64,3,36,no_index,1.0
y,no_index,69,3,29,no_index,1.0
y,no_index,74,3,15,no_index,1.0
y,no_index,76,3,40,no_index,1.0
y,no_index,77,3,43,no_index,1.0
y,no_index,77,3,44,no_index,1.0
y,no_index,88,3,22,no_index,1.0
y,no_index,91,3,25,no_index,1.0
y,no_index,93,3,20,no_index,1.0
y,no_index,95,3,35,no_index,1.0
y,no_index,95,3,50,no_index,1.0
y,no_index,96,3,16,no_index,1.0
y,no_index,96,3,17,no_index,1.0
y,no_index,96,3,18,no_index,1.0
y,no_index,96,3,19,no_index,1.0
y,no_index,98,3,31,no_index,1.0
y,no_index,98,3,32,no_index,1.0
y,no_index,98,3,37,no_index,1.0
y,no_index,98,3,38,no_index,1.0
