variable_name,i,j,l,s,t,value
x,no_index,2,1,30,no_index,1690.9617127116835
x,no_index,3,1,5,no_index,8270.0
x,no_index,4,1,35,no_index,13555.571448558934
x,no_index,4,1,37,no_index,1657.697266002892
x,no_index,4,1,38,no_index,4286.7312854381735
x,no_index,7,1,23,no_index,16682.002101197042
x,no_index,11,1,41,no_index,11952.0
x,no_index,12,1,16,no_index,13851.0
x,no_index,14,1,18,no_index,18463.0
x,no_index,16,1,21,no_index,2215.295803956144
x,no_index,16,1,24,no_index,2215.295803956151
x,no_index,18,1,29,no_index,17297.0
x,no_index,21,1,27,no_index,18009.0
x,no_index,24,1,36,no_index,13859.0
x,no_index,27,1,11,no_index,2223.8111671753395
x,no_index,27,1,15,no_index,16672.101720880546
x,no_index,44,1,50,no_index,19283.0
x,no_index,45,1,19,no_index,2362.6631579353334
x,no_index,45,1,20,no_index,11964.336842064666
x,no_index,46,1,42,no_index,2443.102386980114
x,no_index,46,1,47,no_index,8544.897613019886
x,no_index,48,1,32,no_index,12630.0
x,no_index,9,2,5,no_index,13441.0
x,no_index,10,2,6,no_index,2769.7885293452746
x,no_index,10,2,26,no_index,356.45452885577106
x,no_index,39,2,28,no_index,2182.0034231515183
x,no_index,2,3,31,no_index,2236.419728967985
x,no_index,2,3,33,no_index,8637.618558320337
x,no_index,5,3,40,no_index,1862.9574655988329
x,no_index,5,3,44,no_index,9333.042534401167
x,no_index,7,3,36,no_index,1881.998949401488
x,no_index,7,3,38,no_index,1881.998949401488
x,no_index,8,3,20,no_index,18744.0
x,no_index,10,3,24,no_index,2192.7804383819976
x,no_index,16,3,35,no_index,12517.408392087713
x,no_index,19,3,2,no_index,11710.49531406838
x,no_index,20,3,23,no_index,11913.0
x,no_index,27,3,21,no_index,1767.0871119441144
x,no_index,29,3,34,no_index,13367.0
x,no_index,30,3,43,no_index,17475.0
x,no_index,36,3,37,no_index,9030.0
x,no_index,39,3,28,no_index,2603.7948842148216
x,no_index,43,3,39,no_index,1690.335353984421
x,no_index,47,3,22,no_index,14238.0
x,no_index,50,3,42,no_index,12048.0
x,no_index,10,4,10,no_index,2270.823452639705
x,no_index,39,4,26,no_index,1365.906671277281
x,no_index,40,4,9,no_index,14542.766668029868
x,no_index,39,5,22,no_index,1455.0490205263775
x,no_index,39,5,24,no_index,2924.2133013442804
x,no_index,42,5,21,no_index,16842.0
x,no_index,1,6,42,no_index,19006.0
x,no_index,6,6,16,no_index,1988.4954515283664
x,no_index,6,6,17,no_index,12048.504548471634
x,no_index,10,6,21,no_index,2319.153050777257
x,no_index,13,6,28,no_index,12663.0
x,no_index,15,6,36,no_index,9074.0
x,no_index,17,6,23,no_index,2586.7776526974376
x,no_index,17,6,24,no_index,12289.222347302572
x,no_index,19,6,25,no_index,2510.5046859316208
x,no_index,22,6,34,no_index,17607.0
x,no_index,23,6,30,no_index,21178.0
x,no_index,25,6,38,no_index,15507.0
x,no_index,26,6,20,no_index,14197.0
x,no_index,28,6,26,no_index,16705.0
