variable_name,i,j,l,s,t,value
x,no_index,1,1,34,no_index,6370.0
x,no_index,1,1,43,no_index,5906.988247422679
x,no_index,1,1,49,no_index,6729.011752577321
x,no_index,2,1,32,no_index,5877.076391752569
x,no_index,7,1,13,no_index,7460.01175257732
x,no_index,8,1,14,no_index,5440.088144329888
x,no_index,10,1,3,no_index,2034.9118556701003
x,no_index,10,1,6,no_index,7874.0881443298995
x,no_index,11,1,44,no_index,5906.988247422679
x,no_index,13,1,23,no_index,1551.4808298811492
x,no_index,13,1,40,no_index,4423.59556187142
x,no_index,14,1,8,no_index,7874.0881443298995
x,no_index,16,1,10,no_index,7090.9118556701
x,no_index,20,1,15,no_index,5225.076391752569
x,no_index,20,1,17,no_index,6687.923608247431
x,no_index,22,1,42,no_index,4441.91185567011
x,no_index,22,1,48,no_index,7223.011752577321
x,no_index,23,1,18,no_index,6687.923608247431
x,no_index,24,1,28,no_index,2463.7977894307533
x,no_index,25,1,12,no_index,6436.02350515465
x,no_index,27,1,22,no_index,3128.900103092781
x,no_index,27,1,29,no_index,3487.0881443299
x,no_index,28,1,25,no_index,3128.900103092781
x,no_index,30,1,38,no_index,5942.076391752569
x,no_index,31,1,35,no_index,6513.83546391753
x,no_index,32,1,11,no_index,7460.01175257732
x,no_index,33,1,20,no_index,6687.923608247431
x,no_index,34,1,37,no_index,5942.076391752569
x,no_index,35,1,19,no_index,6687.923608247431
x,no_index,35,1,21,no_index,3128.900103092781
x,no_index,35,1,27,no_index,3487.0881443299
x,no_index,39,1,45,no_index,5906.988247422679
x,no_index,39,1,46,no_index,7223.011752577321
x,no_index,40,1,7,no_index,6588.9118556701
x,no_index,41,1,30,no_index,2685.099896907218
x,no_index,41,1,31,no_index,6370.0
x,no_index,42,1,26,no_index,3487.0881443299
x,no_index,43,1,36,no_index,5942.076391752569
x,no_index,45,1,9,no_index,7639.076391752569
x,no_index,47,1,16,no_index,6687.923608247431
x,no_index,47,1,24,no_index,4062.988247422669
x,no_index,49,1,33,no_index,6370.0
x,no_index,49,1,39,no_index,2643.0
x,no_index,49,1,41,no_index,5906.988247422679
x,no_index,49,1,47,no_index,7223.011752577321
x,no_index,3,2,2,no_index,395.9118556701024
x,no_index,3,2,6,no_index,7874.088144329898
x,no_index,4,2,33,no_index,6370.0
x,no_index,5,2,43,no_index,5906.988247422679
x,no_index,5,2,48,no_index,1379.8781181260165
x,no_index,5,2,49,no_index,3909.1336344513047
x,no_index,8,2,21,no_index,3128.900103092781
x,no_index,8,2,30,no_index,3487.0881443299
x,no_index,9,2,10,no_index,5980.98824742268
x,no_index,9,2,13,no_index,7460.01175257732
x,no_index,12,2,9,no_index,6390.98824742268
x,no_index,13,2,18,no_index,6687.923608247431
x,no_index,14,2,12,no_index,7460.01175257732
x,no_index,16,2,26,no_index,3487.0881443299
x,no_index,16,2,32,no_index,6370.0
x,no_index,18,2,35,no_index,5447.935360824751
x,no_index,19,2,7,no_index,7137.164536082468
x,no_index,19,2,20,no_index,6687.923608247431
x,no_index,21,2,34,no_index,6370.0
x,no_index,21,2,40,no_index,5942.076391752569
x,no_index,25,2,38,no_index,5942.076391752569
x,no_index,26,2,17,no_index,7827.0
x,no_index,26,2,31,no_index,6370.0
x,no_index,28,2,14,no_index,6888.176288659788
x,no_index,28,2,16,no_index,6687.923608247431
x,no_index,29,2,15,no_index,7460.01175257732
x,no_index,29,2,44,no_index,5906.98824742268
x,no_index,30,2,45,no_index,4309.91185567011
x,no_index,30,2,46,no_index,7223.011752577321
x,no_index,31,2,29,no_index,3487.0881443299
x,no_index,32,2,25,no_index,4224.98824742268
x,no_index,33,2,24,no_index,3128.900103092781
x,no_index,34,2,28,no_index,3487.0881443299
x,no_index,36,2,39,no_index,5942.076391752569
x,no_index,36,2,47,no_index,3087.923608247431
x,no_index,37,2,8,no_index,5615.099896907219
x,no_index,37,2,23,no_index,3128.900103092781
x,no_index,38,2,27,no_index,3487.0881443299
x,no_index,41,2,22,no_index,3128.900103092781
x,no_index,43,2,11,no_index,6613.935360824752
x,no_index,43,2,42,no_index,5906.988247422679
x,no_index,44,2,36,no_index,5942.076391752569
x,no_index,44,2,41,no_index,6117.91185567011
x,no_index,48,2,19,no_index,6687.923608247431
x,no_index,48,2,37,no_index,5942.076391752569
x,no_index,2,3,19,no_index,6687.923608247431
x,no_index,4,3,44,no_index,5906.988247422679
x,no_index,4,3,47,no_index,7223.011752577321
x,no_index,6,3,8,no_index,6576.98824742268
x,no_index,6,3,13,no_index,7460.01175257732
x,no_index,7,3,25,no_index,3128.900103092781
x,no_index,7,3,26,no_index,3487.0881443299
x,no_index,7,3,35,no_index,6370.0
x,no_index,8,3,17,no_index,6687.923608247431
x,no_index,11,3,50,no_index,6045.011752577321
x,no_index,12,3,11,no_index,7460.01175257732
x,no_index,14,3,24,no_index,3128.900103092781
x,no_index,15,3,29,no_index,2704.0
x,no_index,15,3,32,no_index,6370.0
x,no_index,17,3,6,no_index,7415.988247422677
x,no_index,17,3,12,no_index,7460.011752577323
x,no_index,18,3,40,no_index,5942.076391752569
x,no_index,18,3,41,no_index,5906.988247422679
x,no_index,19,3,2,no_index,395.9118556701024
x,no_index,21,3,7,no_index,5696.923608247431
x,no_index,22,3,39,no_index,5942.076391752569
x,no_index,23,3,10,no_index,7874.0881443298995
x,no_index,23,3,23,no_index,3128.900103092781
x,no_index,23,3,28,no_index,3487.0881443299
x,no_index,24,3,36,no_index,5942.076391752569
x,no_index,24,3,43,no_index,5453.125818816678
x,no_index,25,3,22,no_index,3128.900103092781
x,no_index,27,3,15,no_index,7359.088144329888
x,no_index,27,3,16,no_index,6687.923608247431
x,no_index,31,3,37,no_index,5942.076391752569
x,no_index,33,3,9,no_index,7374.176288659788
x,no_index,34,3,33,no_index,6672.83546391753
x,no_index,35,3,14,no_index,7361.088144329888
x,no_index,38,3,42,no_index,5255.9118556701
x,no_index,40,3,30,no_index,3487.0881443299004
x,no_index,40,3,31,no_index,6370.0
x,no_index,42,3,20,no_index,6687.923608247431
x,no_index,42,3,21,no_index,6666.988247422669
x,no_index,44,3,48,no_index,1769.301453321299
x,no_index,44,3,49,no_index,5453.710299256022
x,no_index,45,3,18,no_index,6687.923608247431
x,no_index,46,3,45,no_index,5906.988247422679
x,no_index,46,3,46,no_index,5081.011752577321
x,no_index,47,3,27,no_index,3487.0881443299
x,no_index,50,3,34,no_index,6370.0
x,no_index,50,3,38,no_index,5678.0
y,no_index,1,1,34,no_index,1.0
y,no_index,1,1,43,no_index,1.0
y,no_index,1,1,49,no_index,1.0
y,no_index,1,1,50,no_index,1.0
y,no_index,2,1,32,no_index,1.0
y,no_index,7,1,13,no_index,1.0
y,no_index,8,1,14,no_index,1.0
y,no_index,10,1,1,no_index,1.0
y,no_index,10,1,2,no_index,1.0
y,no_index,10,1,3,no_index,1.0
y,no_index,10,1,4,no_index,1.0
y,no_index,10,1,5,no_index,1.0
y,no_index,10,1,6,no_index,1.0
y,no_index,11,1,44,no_index,1.0
y,no_index,13,1,23,no_index,1.0
y,no_index,13,1,40,no_index,1.0
y,no_index,14,1,8,no_index,1.0
y,no_index,16,1,10,no_index,1.0
y,no_index,20,1,15,no_index,1.0
y,no_index,20,1,17,no_index,1.0
y,no_index,22,1,42,no_index,1.0
y,no_index,22,1,48,no_index,1.0
y,no_index,23,1,18,no_index,1.0
y,no_index,24,1,28,no_index,1.0
y,no_index,25,1,12,no_index,1.0
y,no_index,27,1,22,no_index,1.0
y,no_index,27,1,29,no_index,1.0
y,no_index,28,1,25,no_index,1.0
y,no_index,30,1,38,no_index,1.0
y,no_index,31,1,35,no_index,1.0
y,no_index,32,1,11,no_index,1.0
y,no_index,33,1,20,no_index,1.0
y,no_index,34,1,37,no_index,1.0
y,no_index,35,1,19,no_index,1.0
y,no_index,35,1,21,no_index,1.0
y,no_index,35,1,27,no_index,1.0
y,no_index,39,1,45,no_index,1.0
y,no_index,39,1,46,no_index,1.0
y,no_index,40,1,7,no_index,1.0
y,no_index,41,1,30,no_index,1.0
y,no_index,41,1,31,no_index,1.0
y,no_index,42,1,26,no_index,1.0
y,no_index,43,1,36,no_index,1.0
y,no_index,45,1,9,no_index,1.0
y,no_index,47,1,16,no_index,1.0
y,no_index,47,1,24,no_index,1.0
y,no_index,49,1,33,no_index,1.0
